listing_id,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,neighbourhood_name,host_listing_count,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,cutoff_date,dataset_version
1104867739631955323,30,0,0.0,1,Private room,Private room in rental unit,2,1.0,1.0,1.0,81.0,5,1125,False,False,Westerpark,1,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,20.0,20.0,209.2,618.0,422.0,2026-08-11,v1_student
2459307,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,3,30,False,False,Watergraafsmeer,1,0,0.0,3.0,30.0,0,0.0,3.0,30.0,32.0,32.0,297.71875,971.0,2656.0,2026-08-11,v1_student
1159327330375323091,30,30,1.0,0,Entire home/apt,Entire condo,2,1.0,1.0,1.0,276.0,1,90,False,False,De Pijp - Rivierenbuurt,1,91,1.0,1.0,90.0,30,1.0,1.0,90.0,2.0,2.0,286.0,435.0,659.0,2026-08-11,v1_student
9356764,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,2,15,False,False,De Baarsjes - Oud-West,1,0,0.0,2.0,15.0,0,0.0,2.0,15.0,3.0,3.0,361.0,731.0,3025.0,2026-08-11,v1_student
45357811,30,0,0.0,1,Entire home/apt,Entire condo,3,2.0,,1.0,,3,1125,False,False,Oostelijk Havengebied - Indische Buurt,1,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,5.0,5.0,204.4,506.0,848.0,2026-08-11,v1_student
772336883654946918,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,192.0,3,7,False,False,Westerpark,1,26,0.2857142857142857,1.7142857142857142,7.0,0,0.0,1.6666666666666667,7.0,8.0,8.0,223.5,454.0,953.0,2026-08-11,v1_student
1428750324958983197,30,30,1.0,0,Entire home/apt,Entire home,3,2.0,1.0,1.5,148.0,30,62,False,False,Watergraafsmeer,2,91,1.0,30.0,62.0,30,1.0,30.0,62.0,0.0,0.0,,,90.0,2026-08-11,v1_student
1405075403645078802,30,30,1.0,0,Hotel room,Room in hotel,2,1.0,,1.0,,1,1125,True,False,Bijlmer-Centrum,7,91,1.0,1.010989010989011,46.0,30,1.0,1.0,46.0,5.0,5.0,71.8,181.0,353.0,2026-08-11,v1_student
695679453963318160,30,0,0.0,1,Entire home/apt,Entire condo,2,1.0,,1.0,,3,38,False,False,De Pijp - Rivierenbuurt,1,0,0.0,3.0,38.0,0,0.0,3.0,38.0,2.0,2.0,346.0,577.0,1286.0,2026-08-11,v1_student
39401306,30,0,0.0,1,Private room,Private room in rental unit,2,1.0,2.0,1.0,118.0,1,31,True,False,Westerpark,3,0,0.0,1.0,1125.0,0,0.0,1.0,1125.0,100.0,100.0,210.26,933.0,387.0,2026-08-11,v1_student
21859606,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,260.0,3,1125,True,True,Centrum-West,1,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,150.0,150.0,328.81333333333333,2201.0,340.0,2026-08-11,v1_student
2400486,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,130.0,4,5,False,False,Slotervaart,1,0,0.0,4.0,5.0,0,0.0,4.0,5.0,59.0,59.0,301.2881355932203,1128.0,754.0,2026-08-11,v1_student
964120570548198750,30,0,0.0,1,Entire home/apt,Entire home,2,1.0,1.0,1.5,191.0,6,35,False,False,Bos en Lommer,1,18,0.1978021978021978,6.0,35.0,0,0.0,6.0,35.0,1.0,1.0,269.0,269.0,345.0,2026-08-11,v1_student
